features,S00Q1-0001,S00Q1-0020,S00Q1-0028,S00Q1-0030,S00Q1-0011,DNA-3CLD,S00Q1-0027,S00Q1-0008,S00Q1-0012,S00Q1-0004,S00Q1-0025,S00Q1-0024,S00Q1-0007,DNA-3CLC,S00Q1-0018,S00Q1-0026,S00Q1-0002,S00Q1-0019,S00Q1-0022,S00Q1-0006,S00Q1-0029,S00Q1-0003,S00Q1-0023,S00Q1-0013,S00Q1-0021,S00Q1-0010,S00Q1-0014,S00Q1-0017,S00Q1-0015,S00Q1-0005,S00Q1-0016,S00Q1-0009
k__Bacteria; p__; c__; o__; f__; g__; s__,18130,21414,29276,13010,780,89,13501,13488,354,50715,22545,13869,15653,71,6561,24842,17709,29748,23029,51682,10473,40371,27849,179,9787,49119,29942,52644,40067,44765,47957,12059
k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Paenibacillaceae; g__Paenibacillus; s__psychroresistens,14,28,5,1,0,0,10,17,1,19,23,20,28,0,5,80,79,10,10,38,7,56,4,0,17,36,2,100,31,11,33,3
k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Paenibacillaceae; g__Paenibacillus; s__pabuli,14,3,2,0,0,0,5,7,0,4,6,10,6,0,7,38,14,19,5,3,8,25,5,0,11,13,0,50,4,20,19,2
k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Paenibacillaceae; g__Paenibacillus; s__yonginensis,13,3,5,3,0,0,7,9,1,12,21,12,18,0,25,24,15,14,8,30,12,84,2,0,12,16,19,75,19,45,26,0
k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Paenibacillaceae; g__Paenibacillus; s__algicola,12,16,7,7,0,0,5,9,0,6,10,11,20,0,7,26,2,26,8,87,10,97,12,0,10,103,64,98,30,30,33,1
k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Paenibacillaceae; g__Paenibacillus; s__azoreducens,8,19,14,13,0,0,9,8,0,15,44,23,28,0,14,9,14,10,67,74,18,12,39,0,1,84,9,101,23,33,35,7
k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Paenibacillaceae; g__Paenibacillus; s__dendritiformis,8,20,56,26,0,0,45,27,0,70,43,23,28,2,17,26,9,49,87,117,12,60,60,0,8,116,58,220,130,99,74,2
k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Paenibacillaceae; g__Paenibacillus; s__antarcticus,8,8,5,10,0,0,11,1,0,8,7,1,0,0,1,29,5,8,30,44,0,7,2,0,3,51,5,24,11,15,20,5
k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Paenibacillaceae; g__Paenibacillus; s__konkukensis,7,10,15,2,1,0,31,13,0,54,15,3,10,1,8,11,5,16,17,137,1,23,9,0,4,121,33,127,60,43,53,4
k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Paenibacillaceae; g__Paenibacillus; s__swuensis,7,3,0,1,0,0,9,1,1,41,6,2,3,0,3,0,1,21,2,91,1,9,5,0,2,34,17,19,40,13,20,0
k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Paenibacillaceae; g__Paenibacillus; s__albus,6,1,15,9,0,0,8,11,1,16,5,5,23,0,16,31,5,5,13,35,9,147,12,0,11,52,37,54,70,70,26,5
k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Paenibacillaceae; g__Paenibacillus; s__terrae,6,13,2,6,1,1,44,4,0,33,3,2,7,0,2,1,9,11,72,55,2,10,4,0,2,34,12,19,40,32,86,0
k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Paenibacillaceae; g__Paenibacillus; s__peoriae,6,8,0,18,0,0,1,4,0,3,45,3,16,0,1,22,5,8,3,3,0,8,0,0,2,17,0,17,10,3,25,15
k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Paenibacillaceae; g__Paenibacillus; s__baekrokdamisoli,6,3,5,2,0,0,4,5,0,8,3,1,3,0,1,7,2,0,6,59,0,4,2,0,1,21,11,34,16,8,31,0
k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Paenibacillaceae; g__Paenibacillus; s__physcomitrellae,6,13,32,1,0,0,9,8,0,24,3,8,1,0,2,3,8,28,29,81,5,8,5,0,0,47,19,30,51,73,23,1
k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Paenibacillaceae; g__Paenibacillus; s__ihbetae,5,6,13,2,0,0,15,0,0,39,12,4,17,1,27,13,1,35,11,89,2,16,3,0,1,55,37,46,60,16,40,2
k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Paenibacillaceae; g__Paenibacillus; s__sophorae,5,7,9,2,0,1,7,7,0,55,18,26,3,0,2,2,1,7,13,52,2,0,2,0,0,63,0,52,25,41,47,4
k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Paenibacillaceae; g__Paenibacillus; s__guangzhouensis,5,8,14,9,2,0,14,3,0,15,8,4,9,0,10,28,8,13,17,51,5,88,24,0,2,53,144,27,39,71,36,21
k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Paenibacillaceae; g__Paenibacillus; s__stellifer,4,15,28,25,1,0,18,6,0,69,9,9,5,0,5,9,3,6,54,106,8,10,59,0,3,106,35,93,43,90,37,3
k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Paenibacillaceae; g__Paenibacillus; s__donghaensis,4,12,9,4,3,0,10,10,1,130,17,12,45,0,4,10,32,25,12,121,3,27,42,0,5,88,26,104,39,69,59,10
k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Paenibacillaceae; g__Paenibacillus; s__borealis,4,2,25,15,0,0,13,7,1,8,14,4,8,0,13,6,12,8,44,45,3,13,16,0,2,61,17,37,26,45,40,0
k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Paenibacillaceae; g__Paenibacillus; s__alvei,4,10,18,6,0,0,8,21,0,7,8,14,39,0,17,16,5,17,8,28,27,14,11,0,1,28,37,87,18,16,20,1
k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Paenibacillaceae; g__Paenibacillus; s__beijingensis,4,18,49,9,1,0,26,33,0,22,97,33,33,0,47,45,9,50,12,99,27,152,79,0,11,110,24,197,70,93,65,20
k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Paenibacillaceae; g__Paenibacillus; s__polymyxa,3,14,19,4,1,0,54,17,0,24,20,21,31,0,14,12,11,14,53,70,19,13,14,0,10,77,35,103,45,34,61,4
k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Paenibacillaceae; g__Paenibacillus; s__lentus,3,16,5,8,0,1,15,14,1,14,55,37,23,0,14,39,10,24,31,69,21,107,3,0,5,51,16,147,40,28,49,1
k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Paenibacillaceae; g__Paenibacillus; s__lutimineralis,3,16,11,7,0,0,7,3,0,13,6,10,9,0,6,15,7,9,32,70,4,8,3,0,0,61,18,14,45,32,28,0
k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Paenibacillaceae; g__Paenibacillus; s__rhizovicinus,2,11,17,11,0,0,18,3,0,51,29,2,5,0,1,4,5,41,13,97,1,11,19,0,4,111,24,60,60,88,44,0
k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Paenibacillaceae; g__Paenibacillus; s__sonchi,2,3,0,1,0,0,0,1,0,2,0,3,1,0,6,24,4,3,1,13,1,25,6,0,0,22,0,2,9,17,19,0
k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Paenibacillaceae; g__Paenibacillus; s__graminis,2,12,7,4,0,0,12,10,1,289,4,10,12,0,20,33,6,33,10,93,17,128,0,0,4,93,14,91,41,13,92,10
k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Paenibacillaceae; g__Paenibacillus; s__tritici,2,8,39,14,0,0,13,2,0,15,19,23,5,0,0,4,3,7,75,51,0,11,16,1,0,88,24,47,46,68,64,2
k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Paenibacillaceae; g__Paenibacillus; s__tianjinensis,1,15,29,10,1,0,17,7,0,25,17,19,6,0,0,0,1,10,45,79,1,15,40,0,1,100,22,19,48,91,47,2
k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Paenibacillaceae; g__Paenibacillus; s__larvae,1,15,15,8,0,0,8,3,0,2,9,12,16,0,21,13,9,30,25,31,14,6,15,0,2,46,19,74,27,2,51,1
k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Paenibacillaceae; g__Paenibacillus; s__protaetiae,1,19,11,10,0,0,4,3,1,54,7,13,15,0,17,8,2,10,16,128,12,10,20,0,2,101,18,40,18,43,45,0
k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Paenibacillaceae; g__Paenibacillus; s__brasilensis,1,5,0,2,0,0,0,0,0,0,0,2,2,3,10,3,1,1,7,13,0,2,1,0,0,6,8,0,6,1,5,0
k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Paenibacillaceae; g__Paenibacillus; s__agaridevorans,1,4,9,5,0,0,1,8,0,9,2,12,10,0,7,2,7,2,62,7,7,1,14,0,3,28,22,166,16,8,7,0
k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Paenibacillaceae; g__Paenibacillus; s__crassostreae,1,7,1,3,0,0,4,2,0,5,12,2,3,0,0,6,10,20,4,21,0,18,0,0,1,37,4,25,12,4,41,7
k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Paenibacillaceae; g__Paenibacillus; s__kribbensis,1,4,3,1,1,0,5,7,0,1,4,0,3,0,3,2,0,3,12,15,0,4,0,0,0,25,12,21,11,3,23,0
k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Paenibacillaceae; g__Paenibacillus; s__barcinonensis,1,4,25,17,3,0,12,1,0,9,9,2,7,0,1,4,0,0,46,35,0,1,9,0,0,43,28,6,20,34,31,6
k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Paenibacillaceae; g__Brevibacillus; s__,13,45,49,53,3,0,40,12,0,97,41,17,32,0,11,76,22,60,65,161,10,117,239,0,12,173,156,92,107,231,77,29
k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Paenibacillaceae; g__Brevibacillus; s__laterosporus,26,11,20,10,0,0,20,17,0,28,18,8,23,0,21,53,31,49,41,76,2,79,10,0,21,133,14,102,54,26,108,3
k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Paenibacillaceae; g__Brevibacillus; s__choshinensis,19,19,7,8,0,0,56,12,0,66,7,9,5,0,3,15,4,51,13,122,5,10,6,0,4,78,41,49,120,29,57,0
k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Paenibacillaceae; g__Brevibacillus; s__sp. BB3-R1,10,9,6,10,1,0,11,18,1,156,102,23,53,0,18,42,20,25,25,56,38,164,14,0,3,88,9,125,53,37,38,13
k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Paenibacillaceae; g__Brevibacillus; s__sp. MMS20-4M-10-Y,3,23,2,7,0,0,6,1,0,20,7,8,13,0,2,3,2,61,7,106,7,10,15,0,0,109,9,44,46,29,38,5
k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Paenibacillaceae; g__Brevibacillus; s__agri,11,24,10,10,1,0,16,6,0,40,23,22,18,0,11,23,11,28,49,74,10,54,16,0,2,62,87,51,38,48,45,6
k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Paenibacillaceae; g__Brevibacillus; s__brevis,5,32,15,15,0,0,10,14,0,26,23,17,41,0,23,43,20,28,23,139,12,43,15,0,30,99,48,112,46,63,72,11
k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Paenibacillaceae; g__Brevibacillus; s__formosus,1,1,0,1,0,0,0,0,0,0,3,2,0,0,0,3,0,0,0,12,0,0,0,0,0,35,0,13,0,3,1,0
k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Paenibacillaceae; g__Aneurinibacillus; s__,4,17,4,3,0,0,14,3,3,17,19,11,12,0,0,34,7,33,15,41,3,102,8,0,3,121,7,10,42,11,30,1
k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Paenibacillaceae; g__Aneurinibacillus; s__soli,46,62,8,4,0,0,13,0,0,6,20,2,4,0,2,2,50,66,39,14,2,8,13,1,6,28,18,22,21,20,53,0
k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Paenibacillaceae; g__Cohnella; s__,1,0,3,0,0,0,4,4,0,7,0,6,1,0,0,0,0,0,4,12,0,1,1,0,0,7,8,11,2,4,13,0
k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Paenibacillaceae; g__Cohnella; s__sp. LGH,18,33,95,30,1,0,23,24,1,32,24,29,58,0,32,29,15,18,96,147,8,32,83,1,16,179,92,183,94,208,69,9
k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Paenibacillaceae; g__Cohnella; s__candidum,5,12,67,27,1,0,79,35,2,61,46,33,49,1,32,43,23,74,55,163,8,85,94,0,11,130,73,245,149,147,58,8
k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Paenibacillaceae; g__Cohnella; s__cholangitidis,3,17,21,7,0,1,3,3,0,14,36,1,5,1,2,9,2,18,5,68,5,16,38,0,2,94,15,23,36,42,20,8
k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Paenibacillaceae; g__Cohnella; s__abietis,2,34,5,3,2,0,12,9,0,15,1,11,6,0,2,6,6,14,4,67,4,5,7,0,0,51,8,39,49,12,37,3
k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Paenibacillaceae; g__Cohnella; s__herbarum,1,8,28,5,0,0,11,4,0,18,17,4,7,0,8,11,3,17,3,57,1,19,23,0,0,75,22,37,60,30,18,6
k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Paenibacillaceae; g__Thermobacillus; s__composti,11,12,42,99,0,0,31,17,3,63,56,25,35,0,17,51,6,55,65,129,9,65,68,0,8,225,47,140,103,159,67,64
k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Paenibacillaceae; g__Saccharibacillus; s__brassicae,6,8,20,13,2,1,24,6,0,90,37,24,16,0,9,17,2,18,11,191,16,58,38,0,6,95,112,100,86,60,49,5
k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Staphylococcaceae; g__; s__,6,4,2,5,2,0,1,6,0,1,20,8,1,0,6,20,2,10,2,14,1,1,1,1,3,13,3,19,3,7,18,2
k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Staphylococcaceae; g__Staphylococcus; s__,218,120,63,32,15,0,48,31,4,21,230,17,45,1,42,117,257,119,280,219,22,362,58,17,109,188,304,180,122,185,189,121
k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Staphylococcaceae; g__Staphylococcus; s__aureus,67,19,14,4,4,0,17,65,0,8,81,34,16,0,17,37,23,51,39,51,9,40,3,7,8,49,1,65,20,9,82,36
k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Staphylococcaceae; g__Staphylococcus; s__cohnii,14,7,5,0,0,0,7,0,1,2,7,0,0,1,0,4,6,12,53,12,0,7,6,0,3,6,1,0,16,1,7,0
k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Staphylococcaceae; g__Staphylococcus; s__pettenkoferi,13,12,17,6,2,0,3,2,0,5,14,7,1,1,1,3,6,15,7,32,2,16,15,0,1,65,4,27,14,35,32,3
k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Staphylococcaceae; g__Staphylococcus; s__epidermidis,9,56,16,2,161,0,122,7,0,10,30,4,6,4,4,33,16,241,27,31,96,202,2,111,123,38,24,70,31,155,44,167
k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Staphylococcaceae; g__Staphylococcus; s__pseudintermedius,5,13,9,11,0,0,11,16,0,10,20,15,30,1,9,47,27,20,120,29,5,52,11,0,13,26,36,78,45,47,45,0
k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Staphylococcaceae; g__Staphylococcus; s__delphini,3,1,22,0,0,0,0,0,0,6,3,0,0,0,0,7,0,8,2,1,2,6,2,0,0,6,10,2,6,10,14,0
k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Staphylococcaceae; g__Staphylococcus; s__capitis,8,8,5,5,0,0,7,9,0,4,6,6,11,0,9,6,5,4,20,16,5,8,1,0,0,12,24,7,13,4,16,26
k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Staphylococcaceae; g__Staphylococcus; s__simulans,7,13,4,7,0,0,6,1,0,0,4,0,12,0,1,8,8,3,8,6,0,3,2,0,3,35,1,5,11,3,11,0
k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Staphylococcaceae; g__Staphylococcus; s__nepalensis,7,3,2,4,0,0,2,0,0,1,5,0,1,0,0,3,5,7,4,10,0,12,0,0,2,6,11,5,11,0,15,0
k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Staphylococcaceae; g__Staphylococcus; s__haemolyticus,6,11,128,6,1,0,4,4,4,3,28,1,7,0,9,14,9,19,37,24,1,7,60,0,4,53,74,8,19,53,26,0
k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Staphylococcaceae; g__Staphylococcus; s__agnetis,6,4,7,10,0,0,12,6,0,23,4,1,6,0,0,6,1,7,86,13,0,1,13,0,3,9,7,21,26,62,44,3
k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Staphylococcaceae; g__Staphylococcus; s__sp. M0911,3,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,1
k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Staphylococcaceae; g__Staphylococcus; s__sp. 17KM0847,2,1,10,1,0,0,1,1,0,1,11,4,0,0,0,6,0,8,6,18,0,8,10,0,0,6,5,6,21,7,22,0
k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Staphylococcaceae; g__Staphylococcus; s__chromogenes,5,6,3,0,0,0,1,0,0,6,2,0,0,0,0,4,1,5,2,0,0,2,1,0,0,14,18,3,9,5,21,0
k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Staphylococcaceae; g__Staphylococcus; s__lugdunensis,5,2,23,2,0,0,10,3,0,8,12,8,8,0,3,5,6,7,7,10,3,1,17,0,3,6,7,2,12,25,37,2
k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Staphylococcaceae; g__Staphylococcus; s__hyicus,5,8,4,4,0,0,3,1,0,1,7,2,0,0,1,20,11,3,44,8,1,51,3,0,4,24,5,0,22,0,15,1
k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Staphylococcaceae; g__Staphylococcus; s__pseudoxylosus,4,3,2,0,0,0,0,3,0,4,5,2,13,0,2,1,0,2,2,15,3,0,2,0,0,3,3,8,2,1,11,0
k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Staphylococcaceae; g__Staphylococcus; s__lloydii,4,15,0,0,0,0,1,0,0,1,6,1,0,0,0,1,2,3,1,1,0,2,2,0,4,1,0,1,2,1,1,0
k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Staphylococcaceae; g__Staphylococcus; s__gallinarum,4,1,5,0,0,0,4,0,1,3,8,0,0,0,0,11,5,1,6,3,1,1,5,0,2,3,9,2,6,2,22,0
k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Staphylococcaceae; g__Staphylococcus; s__edaphicus,3,4,0,0,0,0,1,2,0,1,6,3,1,0,1,8,1,6,8,6,1,3,0,0,0,5,3,5,4,1,2,1
k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Staphylococcaceae; g__Staphylococcus; s__caprae,3,3,3,12,4,0,16,0,0,5,4,1,1,0,0,0,1,5,16,20,0,2,4,0,0,17,5,5,13,2,22,11
k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Staphylococcaceae; g__Staphylococcus; s__schweitzeri,3,2,14,1,0,0,0,0,0,0,2,0,1,0,0,1,3,1,2,6,0,2,0,0,0,8,1,4,5,0,20,0
k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Staphylococcaceae; g__Staphylococcus; s__simiae,3,4,7,3,0,0,8,5,1,12,5,1,9,0,16,3,6,16,21,28,0,4,2,0,0,21,15,22,22,8,30,0
k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Staphylococcaceae; g__Staphylococcus; s__hominis,3,0,1,7,1,0,6,3,0,4,17,0,16,0,14,10,9,4,20,5,3,6,7,0,1,13,7,11,15,1,26,45
k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Staphylococcaceae; g__Staphylococcus; s__ratti,3,7,1,1,0,0,1,0,0,1,0,0,0,0,1,4,1,4,14,4,1,6,8,0,0,2,6,0,15,1,12,0
k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Staphylococcaceae; g__Staphylococcus; s__roterodami,2,2,2,2,0,0,4,0,0,4,1,0,1,0,1,3,0,3,7,4,0,7,0,1,0,6,5,2,6,0,8,0
k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Staphylococcaceae; g__Staphylococcus; s__carnosus,2,4,7,1,0,0,0,3,0,1,4,2,2,0,9,0,3,8,5,14,7,6,1,0,2,27,2,0,14,1,22,0
k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Staphylococcaceae; g__Staphylococcus; s__xylosus,2,2,23,0,0,0,3,1,0,6,6,1,5,0,0,8,0,5,10,15,1,5,5,0,0,3,11,5,11,8,40,2
k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Staphylococcaceae; g__Staphylococcus; s__pasteuri,2,6,1,4,0,0,5,1,0,11,0,1,0,0,0,1,1,4,150,16,0,2,3,0,2,8,11,8,21,5,19,5
k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Staphylococcaceae; g__Staphylococcus; s__arlettae,2,6,3,2,0,0,0,0,0,2,18,0,0,0,0,11,8,13,2,8,0,6,2,0,0,11,7,10,3,3,2,3
k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Staphylococcaceae; g__Staphylococcus; s__warneri,1,0,0,0,0,0,5,0,0,0,1,0,1,0,1,0,0,1,0,1,0,2,4,0,0,4,2,3,0,14,15,9
k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Staphylococcaceae; g__Staphylococcus; s__succinus,1,6,2,2,0,1,6,0,0,3,7,4,5,0,2,4,5,3,3,2,0,6,1,1,2,10,2,1,8,0,10,0
k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Staphylococcaceae; g__Staphylococcus; s__felis,1,1,6,11,0,0,1,1,0,2,18,0,2,0,2,2,5,3,54,9,3,2,3,0,1,30,6,2,12,3,12,0
k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Staphylococcaceae; g__Staphylococcus; s__equorum,1,1,2,0,0,0,1,0,0,4,0,1,0,0,0,4,0,0,1,8,0,0,1,0,0,3,0,18,3,0,11,3
k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Staphylococcaceae; g__Staphylococcus; s__schleiferi,1,7,9,3,0,0,16,0,0,113,6,0,0,0,1,2,3,8,65,56,2,10,2,0,0,31,10,1,20,1,32,0
k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Staphylococcaceae; g__Staphylococcus; s__saprophyticus,1,2,5,6,0,0,5,4,0,3,2,1,1,0,0,7,13,6,49,36,1,4,0,0,1,17,5,4,3,5,13,0
k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Staphylococcaceae; g__Macrococcus; s__,16,24,7,8,0,0,7,6,0,3,16,3,1,0,13,27,21,23,5,74,3,10,3,0,10,42,16,16,18,34,28,1
k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Staphylococcaceae; g__Macrococcus; s__caseolyticus,10,15,2,0,0,0,1,3,2,2,2,0,1,0,0,34,19,26,8,19,0,32,7,0,9,15,19,10,22,8,13,0
k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Staphylococcaceae; g__Macrococcus; s__canis,6,2,13,8,0,0,23,1,0,9,5,11,15,0,1,44,11,7,35,20,2,41,2,0,3,57,4,23,15,16,66,0
k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Staphylococcaceae; g__Macrococcus; s__brunensis,4,14,28,5,0,0,6,1,0,11,7,6,0,0,2,4,17,14,16,49,1,11,14,0,2,40,2,10,19,29,51,0
k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Staphylococcaceae; g__Macrococcus; s__equipercicus,2,1,12,3,0,0,2,3,0,6,27,8,4,0,5,18,5,1,5,27,0,4,14,0,0,46,4,21,5,24,38,1
k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Staphylococcaceae; g__Macrococcus; s__armenti,2,4,11,1,0,0,3,1,0,0,7,5,9,1,2,0,2,15,20,13,0,4,7,0,4,44,10,27,7,14,20,0
k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Staphylococcaceae; g__Macrococcus; s__bohemicus,1,2,0,3,0,0,1,0,0,1,0,2,1,0,6,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,2,0
k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Staphylococcaceae; g__Mammaliicoccus; s__,2,3,4,1,0,0,1,0,0,0,2,0,0,0,0,3,4,3,1,0,0,6,4,0,0,3,3,2,1,2,1,0
k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Staphylococcaceae; g__Mammaliicoccus; s__lentus,3,3,1,0,0,0,0,1,0,2,7,0,4,0,1,4,3,2,5,5,1,0,3,0,0,5,0,3,10,0,3,0
k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Staphylococcaceae; g__Mammaliicoccus; s__stepanovicii,3,0,0,1,0,0,8,1,1,3,2,0,1,0,0,13,4,3,12,11,0,5,0,0,1,4,2,3,19,5,65,0
k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Staphylococcaceae; g__Mammaliicoccus; s__sciuri,2,9,13,0,0,0,5,4,0,3,10,11,7,0,3,10,18,5,7,30,1,6,15,0,1,32,10,25,18,14,32,0
k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Staphylococcaceae; g__Jeotgalicoccus; s__saudimassiliensis,8,9,0,4,0,0,2,6,0,11,48,9,17,0,12,63,25,14,2,20,23,112,0,0,12,52,1,92,4,8,28,1
k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Staphylococcaceae; g__Jeotgalicoccus; s__sp. ATCC 8456,1,3,6,0,0,0,5,1,0,0,0,0,0,0,0,9,11,1,8,10,0,2,0,0,0,4,20,1,2,2,25,1
k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Staphylococcaceae; g__Abyssicoccus; s__albus,3,5,0,2,0,0,2,0,0,1,4,0,0,0,0,0,15,34,5,44,1,4,3,0,18,15,8,10,31,3,49,0
